"target","emd"
5,11.7281837463379
10,10.3556413650513
15,7.98427677154541
20,7.15124654769897
25,7.1549973487854
30,6.41521167755127
35,5.89021873474121
40,5.63540315628052
45,5.1888599395752
50,4.21699094772339
55,3.07211804389954
60,2.38577938079834
65,2.00532388687134
70,1.54968214035034
75,1.16367447376251
