"config","target","emd","target_label"
1,5,8.96531867980957,"Target: 5%"
2,5,0.156012207269669,"Target: 5%"
1,10,10.702320098877,"Target: 10%"
2,10,0.186602130532265,"Target: 10%"
1,15,7.59339809417725,"Target: 15%"
2,15,0.0466936975717545,"Target: 15%"
1,20,7.48055934906006,"Target: 20%"
2,20,0.0288430098444223,"Target: 20%"
1,25,6.51843214035034,"Target: 25%"
2,25,0.0404488369822502,"Target: 25%"
1,30,10.7201957702637,"Target: 30%"
2,30,0.0530964955687523,"Target: 30%"
1,35,14.2022132873535,"Target: 35%"
2,35,0.0185479652136564,"Target: 35%"
1,40,13.6125860214233,"Target: 40%"
2,40,0.0137947658076882,"Target: 40%"
1,45,10.1687536239624,"Target: 45%"
2,45,0.00762228015810251,"Target: 45%"
1,50,8.86414241790771,"Target: 50%"
2,50,0.00946603156626225,"Target: 50%"
1,55,7.87053918838501,"Target: 55%"
2,55,0.00625610304996371,"Target: 55%"
1,60,6.08923864364624,"Target: 60%"
2,60,0.00575965037569404,"Target: 60%"
1,65,4.60326147079468,"Target: 65%"
2,65,0.00799085013568401,"Target: 65%"
1,70,3.51294493675232,"Target: 70%"
2,70,0.00719871139153838,"Target: 70%"
1,75,3.3139660358429,"Target: 75%"
2,75,0.00684454292058945,"Target: 75%"
