"config","target","emd","target_label"
1,5,38.9278411865234,"Target: 5%"
2,5,100.46076965332,"Target: 5%"
3,5,23.126823425293,"Target: 5%"
4,5,36.5083923339844,"Target: 5%"
5,5,20.5801410675049,"Target: 5%"
6,5,17.2539615631104,"Target: 5%"
7,5,16.0992984771729,"Target: 5%"
8,5,91.4794616699219,"Target: 5%"
9,5,23.0612525939941,"Target: 5%"
10,5,99.1054382324219,"Target: 5%"
11,5,22.1178703308105,"Target: 5%"
12,5,25.2145023345947,"Target: 5%"
13,5,3.26396727561951,"Target: 5%"
14,5,15.398850440979,"Target: 5%"
1,10,47.708179473877,"Target: 10%"
2,10,117.028854370117,"Target: 10%"
3,10,22.3418769836426,"Target: 10%"
4,10,27.3582153320312,"Target: 10%"
5,10,26.9317779541016,"Target: 10%"
6,10,18.1554660797119,"Target: 10%"
7,10,15.1023597717285,"Target: 10%"
8,10,110.763847351074,"Target: 10%"
9,10,30.1123733520508,"Target: 10%"
10,10,117.547645568848,"Target: 10%"
11,10,22.2514953613281,"Target: 10%"
12,10,19.996129989624,"Target: 10%"
13,10,7.90161800384521,"Target: 10%"
14,10,16.8478012084961,"Target: 10%"
1,15,45.1751594543457,"Target: 15%"
2,15,130.75749206543,"Target: 15%"
3,15,32.3589401245117,"Target: 15%"
4,15,26.9577598571777,"Target: 15%"
5,15,22.0583190917969,"Target: 15%"
6,15,15.3159456253052,"Target: 15%"
7,15,9.60028076171875,"Target: 15%"
8,15,123.528526306152,"Target: 15%"
9,15,36.421703338623,"Target: 15%"
10,15,130.75749206543,"Target: 15%"
11,15,32.2244300842285,"Target: 15%"
12,15,19.2546882629395,"Target: 15%"
13,15,4.77313852310181,"Target: 15%"
14,15,14.1572151184082,"Target: 15%"
1,20,41.9406547546387,"Target: 20%"
2,20,132.897354125977,"Target: 20%"
3,20,38.1766929626465,"Target: 20%"
4,20,28.6565818786621,"Target: 20%"
5,20,16.6839370727539,"Target: 20%"
6,20,16.4377765655518,"Target: 20%"
7,20,8.12729454040527,"Target: 20%"
8,20,129.314743041992,"Target: 20%"
9,20,37.7074584960938,"Target: 20%"
10,20,132.897354125977,"Target: 20%"
11,20,37.969669342041,"Target: 20%"
12,20,22.0795631408691,"Target: 20%"
13,20,3.86907386779785,"Target: 20%"
14,20,16.9608535766602,"Target: 20%"
1,25,42.5893440246582,"Target: 25%"
2,25,134.286514282227,"Target: 25%"
3,25,42.2270965576172,"Target: 25%"
4,25,26.2364883422852,"Target: 25%"
5,25,13.4463977813721,"Target: 25%"
6,25,16.4517383575439,"Target: 25%"
7,25,7.9032130241394,"Target: 25%"
8,25,133.946166992188,"Target: 25%"
9,25,40.6598472595215,"Target: 25%"
10,25,134.498245239258,"Target: 25%"
11,25,42.1438026428223,"Target: 25%"
12,25,20.6127815246582,"Target: 25%"
13,25,2.82358765602112,"Target: 25%"
14,25,17.0945148468018,"Target: 25%"
1,30,45.3636360168457,"Target: 30%"
2,30,132.295562744141,"Target: 30%"
3,30,46.1358947753906,"Target: 30%"
4,30,24.3272743225098,"Target: 30%"
5,30,11.5273265838623,"Target: 30%"
6,30,14.9727458953857,"Target: 30%"
7,30,7.79218912124634,"Target: 30%"
8,30,137.473403930664,"Target: 30%"
9,30,44.9546089172363,"Target: 30%"
10,30,132.295562744141,"Target: 30%"
11,30,46.1349487304688,"Target: 30%"
12,30,17.5690956115723,"Target: 30%"
13,30,1.77387392520905,"Target: 30%"
14,30,14.7096567153931,"Target: 30%"
1,35,49.3354530334473,"Target: 35%"
2,35,130.325073242188,"Target: 35%"
3,35,49.830451965332,"Target: 35%"
4,35,23.1447849273682,"Target: 35%"
5,35,9.12646770477295,"Target: 35%"
6,35,12.4509553909302,"Target: 35%"
7,35,6.84637498855591,"Target: 35%"
8,35,140.021499633789,"Target: 35%"
9,35,48.8201484680176,"Target: 35%"
10,35,130.325073242188,"Target: 35%"
11,35,49.8582801818848,"Target: 35%"
12,35,15.9726009368896,"Target: 35%"
13,35,0.62364262342453,"Target: 35%"
14,35,12.6640062332153,"Target: 35%"
1,40,51.9863471984863,"Target: 40%"
2,40,126.065872192383,"Target: 40%"
3,40,52.1338768005371,"Target: 40%"
4,40,21.0480327606201,"Target: 40%"
5,40,6.76339292526245,"Target: 40%"
6,40,10.7542276382446,"Target: 40%"
7,40,4.48610353469849,"Target: 40%"
8,40,142.753372192383,"Target: 40%"
9,40,52.0112075805664,"Target: 40%"
10,40,126.065872192383,"Target: 40%"
11,40,52.1623878479004,"Target: 40%"
12,40,15.3107166290283,"Target: 40%"
13,40,0.000377800461137667,"Target: 40%"
14,40,12.4266681671143,"Target: 40%"
1,45,53.2543830871582,"Target: 45%"
2,45,122.17000579834,"Target: 45%"
3,45,53.3292961120605,"Target: 45%"
4,45,18.701078414917,"Target: 45%"
5,45,5.17651796340942,"Target: 45%"
6,45,10.3574552536011,"Target: 45%"
7,45,3.46807456016541,"Target: 45%"
8,45,142.121765136719,"Target: 45%"
9,45,53.0548629760742,"Target: 45%"
10,45,122.108383178711,"Target: 45%"
11,45,53.3292961120605,"Target: 45%"
12,45,14.1089811325073,"Target: 45%"
13,45,0.000333455536747351,"Target: 45%"
14,45,12.6262845993042,"Target: 45%"
1,50,54.8770484924316,"Target: 50%"
2,50,117.030944824219,"Target: 50%"
3,50,54.3086547851562,"Target: 50%"
4,50,15.5508737564087,"Target: 50%"
5,50,4.45088577270508,"Target: 50%"
6,50,10.0214958190918,"Target: 50%"
7,50,2.71554851531982,"Target: 50%"
8,50,142.717498779297,"Target: 50%"
9,50,54.7809257507324,"Target: 50%"
10,50,117.129928588867,"Target: 50%"
11,50,54.3086547851562,"Target: 50%"
12,50,11.7868299484253,"Target: 50%"
13,50,0,"Target: 50%"
14,50,11.1301212310791,"Target: 50%"
1,55,56.8577537536621,"Target: 55%"
2,55,112.122421264648,"Target: 55%"
3,55,56.2844161987305,"Target: 55%"
4,55,11.0594654083252,"Target: 55%"
5,55,3.77527403831482,"Target: 55%"
6,55,8.1578893661499,"Target: 55%"
7,55,2.24184274673462,"Target: 55%"
8,55,142.624603271484,"Target: 55%"
9,55,56.8559036254883,"Target: 55%"
10,55,112.128463745117,"Target: 55%"
11,55,56.2844161987305,"Target: 55%"
12,55,8.01519298553467,"Target: 55%"
13,55,0,"Target: 55%"
14,55,8.01625156402588,"Target: 55%"
1,60,57.123104095459,"Target: 60%"
2,60,107.014801025391,"Target: 60%"
3,60,56.541431427002,"Target: 60%"
4,60,8.48912525177002,"Target: 60%"
5,60,2.48741459846497,"Target: 60%"
6,60,5.8372049331665,"Target: 60%"
7,60,1.63381481170654,"Target: 60%"
8,60,139.966918945312,"Target: 60%"
9,60,57.1649169921875,"Target: 60%"
10,60,107.02416229248,"Target: 60%"
11,60,56.541431427002,"Target: 60%"
12,60,5.31699562072754,"Target: 60%"
13,60,0.000120027842058334,"Target: 60%"
14,60,5.40699291229248,"Target: 60%"
1,65,55.4755821228027,"Target: 65%"
2,65,100.774375915527,"Target: 65%"
3,65,55.1299819946289,"Target: 65%"
4,65,7.08813285827637,"Target: 65%"
5,65,1.65970027446747,"Target: 65%"
6,65,4.11738729476929,"Target: 65%"
7,65,1.36425185203552,"Target: 65%"
8,65,134.622024536133,"Target: 65%"
9,65,55.4137382507324,"Target: 65%"
10,65,100.799774169922,"Target: 65%"
11,65,55.1236801147461,"Target: 65%"
12,65,3.95165848731995,"Target: 65%"
13,65,0.00010862952331081,"Target: 65%"
14,65,3.69720888137817,"Target: 65%"
1,70,52.4336814880371,"Target: 70%"
2,70,93.9541397094727,"Target: 70%"
3,70,52.2159385681152,"Target: 70%"
4,70,6.15962648391724,"Target: 70%"
5,70,1.60773754119873,"Target: 70%"
6,70,3.17992091178894,"Target: 70%"
7,70,1.18607091903687,"Target: 70%"
8,70,127.536308288574,"Target: 70%"
9,70,52.4489974975586,"Target: 70%"
10,70,93.9348297119141,"Target: 70%"
11,70,52.2159385681152,"Target: 70%"
12,70,3.77193069458008,"Target: 70%"
13,70,9.85282313195057e-05,"Target: 70%"
14,70,3.37186455726624,"Target: 70%"
1,75,48.4619598388672,"Target: 75%"
2,75,85.9923248291016,"Target: 75%"
3,75,48.3217926025391,"Target: 75%"
4,75,6.06180191040039,"Target: 75%"
5,75,1.31001567840576,"Target: 75%"
6,75,2.93516993522644,"Target: 75%"
7,75,1.01505208015442,"Target: 75%"
8,75,117.694122314453,"Target: 75%"
9,75,48.4619598388672,"Target: 75%"
10,75,85.9670104980469,"Target: 75%"
11,75,48.3217926025391,"Target: 75%"
12,75,3.40467047691345,"Target: 75%"
13,75,0.000216381653444842,"Target: 75%"
14,75,3.22747492790222,"Target: 75%"
