"config","target","emd","target_label"
6,35,0,"Target: 35%"
7,35,0,"Target: 35%"
8,35,0,"Target: 35%"
9,35,0,"Target: 35%"
10,35,0,"Target: 35%"
11,35,0,"Target: 35%"
12,35,0,"Target: 35%"
13,35,0,"Target: 35%"
14,35,0,"Target: 35%"
15,35,0,"Target: 35%"
16,35,0,"Target: 35%"
17,35,0,"Target: 35%"
18,35,0,"Target: 35%"
19,35,0,"Target: 35%"
20,35,0,"Target: 35%"
21,35,0,"Target: 35%"
22,35,0,"Target: 35%"
23,35,0,"Target: 35%"
24,35,0,"Target: 35%"
25,35,0,"Target: 35%"
26,35,0,"Target: 35%"
27,35,0,"Target: 35%"
28,35,0,"Target: 35%"
29,35,0,"Target: 35%"
30,35,0,"Target: 35%"
1,40,0,"Target: 40%"
2,40,0,"Target: 40%"
3,40,0,"Target: 40%"
4,40,0,"Target: 40%"
5,40,0,"Target: 40%"
6,40,0,"Target: 40%"
7,40,0,"Target: 40%"
8,40,0,"Target: 40%"
9,40,0,"Target: 40%"
10,40,0,"Target: 40%"
11,40,0,"Target: 40%"
12,40,0,"Target: 40%"
13,40,0,"Target: 40%"
14,40,0,"Target: 40%"
15,40,0,"Target: 40%"
16,40,0,"Target: 40%"
17,40,0,"Target: 40%"
18,40,0,"Target: 40%"
19,40,0,"Target: 40%"
20,40,0,"Target: 40%"
21,40,0,"Target: 40%"
22,40,0,"Target: 40%"
23,40,0,"Target: 40%"
24,40,0,"Target: 40%"
25,40,0,"Target: 40%"
26,40,0,"Target: 40%"
27,40,0,"Target: 40%"
28,40,0,"Target: 40%"
29,40,0,"Target: 40%"
30,40,0,"Target: 40%"
1,45,0,"Target: 45%"
2,45,0,"Target: 45%"
3,45,0,"Target: 45%"
4,45,0,"Target: 45%"
5,45,0,"Target: 45%"
6,45,0,"Target: 45%"
7,45,0,"Target: 45%"
8,45,0,"Target: 45%"
9,45,0,"Target: 45%"
10,45,0,"Target: 45%"
11,45,0,"Target: 45%"
12,45,0,"Target: 45%"
13,45,0,"Target: 45%"
14,45,0,"Target: 45%"
15,45,0,"Target: 45%"
16,45,0,"Target: 45%"
17,45,0,"Target: 45%"
18,45,0,"Target: 45%"
19,45,0,"Target: 45%"
20,45,0,"Target: 45%"
21,45,0,"Target: 45%"
22,45,0,"Target: 45%"
23,45,0,"Target: 45%"
24,45,0,"Target: 45%"
25,45,0,"Target: 45%"
26,45,0,"Target: 45%"
27,45,0,"Target: 45%"
28,45,0,"Target: 45%"
29,45,0,"Target: 45%"
30,45,0,"Target: 45%"
1,50,0,"Target: 50%"
2,50,0,"Target: 50%"
3,50,0,"Target: 50%"
4,50,0,"Target: 50%"
5,50,0,"Target: 50%"
6,50,0,"Target: 50%"
7,50,0,"Target: 50%"
8,50,0,"Target: 50%"
9,50,0,"Target: 50%"
10,50,0,"Target: 50%"
11,50,0,"Target: 50%"
12,50,0,"Target: 50%"
13,50,0,"Target: 50%"
14,50,0,"Target: 50%"
15,50,0,"Target: 50%"
16,50,0,"Target: 50%"
17,50,0,"Target: 50%"
18,50,0,"Target: 50%"
19,50,0,"Target: 50%"
20,50,0,"Target: 50%"
21,50,0,"Target: 50%"
22,50,0,"Target: 50%"
23,50,0,"Target: 50%"
24,50,0,"Target: 50%"
25,50,0,"Target: 50%"
26,50,0,"Target: 50%"
27,50,0,"Target: 50%"
28,50,0,"Target: 50%"
29,50,0,"Target: 50%"
30,50,0,"Target: 50%"
1,55,0,"Target: 55%"
2,55,0,"Target: 55%"
3,55,0,"Target: 55%"
4,55,0,"Target: 55%"
5,55,0,"Target: 55%"
6,55,0,"Target: 55%"
7,55,0,"Target: 55%"
8,55,0,"Target: 55%"
9,55,0,"Target: 55%"
10,55,0,"Target: 55%"
11,55,0,"Target: 55%"
12,55,0,"Target: 55%"
13,55,0,"Target: 55%"
14,55,0,"Target: 55%"
15,55,0,"Target: 55%"
16,55,0,"Target: 55%"
17,55,0,"Target: 55%"
18,55,0,"Target: 55%"
19,55,0,"Target: 55%"
20,55,0,"Target: 55%"
21,55,0,"Target: 55%"
22,55,0,"Target: 55%"
23,55,0,"Target: 55%"
24,55,0,"Target: 55%"
25,55,0,"Target: 55%"
26,55,0,"Target: 55%"
27,55,0,"Target: 55%"
28,55,0,"Target: 55%"
29,55,0,"Target: 55%"
30,55,0,"Target: 55%"
1,60,0.0347682647407055,"Target: 60%"
2,60,0,"Target: 60%"
3,60,0,"Target: 60%"
4,60,0,"Target: 60%"
5,60,0,"Target: 60%"
6,60,0,"Target: 60%"
7,60,0,"Target: 60%"
8,60,0.0347682647407055,"Target: 60%"
9,60,0.0347682647407055,"Target: 60%"
10,60,0,"Target: 60%"
11,60,0,"Target: 60%"
12,60,0,"Target: 60%"
13,60,0,"Target: 60%"
14,60,0,"Target: 60%"
15,60,0,"Target: 60%"
16,60,0.0347682647407055,"Target: 60%"
17,60,0.0347682647407055,"Target: 60%"
18,60,0,"Target: 60%"
19,60,0,"Target: 60%"
20,60,0,"Target: 60%"
21,60,0,"Target: 60%"
22,60,0,"Target: 60%"
23,60,0,"Target: 60%"
24,60,0.0347682647407055,"Target: 60%"
25,60,0.0347682647407055,"Target: 60%"
26,60,0,"Target: 60%"
27,60,0,"Target: 60%"
28,60,0,"Target: 60%"
29,60,0,"Target: 60%"
30,60,0,"Target: 60%"
1,65,0.00329987402074039,"Target: 65%"
2,65,7.57562065124512,"Target: 65%"
3,65,7.57562065124512,"Target: 65%"
4,65,8.15100002288818,"Target: 65%"
5,65,8.15100002288818,"Target: 65%"
6,65,3.24312734603882,"Target: 65%"
7,65,3.24312734603882,"Target: 65%"
8,65,0.0133877731859684,"Target: 65%"
9,65,0.00329987402074039,"Target: 65%"
10,65,7.57562065124512,"Target: 65%"
11,65,7.57562065124512,"Target: 65%"
12,65,8.15100002288818,"Target: 65%"
13,65,8.15100002288818,"Target: 65%"
14,65,3.24312734603882,"Target: 65%"
15,65,3.24312734603882,"Target: 65%"
16,65,6.69156932830811,"Target: 65%"
17,65,6.69156932830811,"Target: 65%"
18,65,3.24312734603882,"Target: 65%"
19,65,3.24312734603882,"Target: 65%"
20,65,5.87334823608398,"Target: 65%"
21,65,5.87334823608398,"Target: 65%"
