"config","target","emd","target_label"
1,5,36.1911125183105,"Target: 5%"
2,5,86.5626907348633,"Target: 5%"
3,5,36.2029991149902,"Target: 5%"
4,5,23.0065784454346,"Target: 5%"
5,5,0.395689249038696,"Target: 5%"
6,5,22.9760570526123,"Target: 5%"
1,10,23.5742130279541,"Target: 10%"
2,10,75.2197113037109,"Target: 10%"
3,10,21.3677616119385,"Target: 10%"
4,10,14.2923231124878,"Target: 10%"
5,10,0.46168178319931,"Target: 10%"
6,10,14.2121114730835,"Target: 10%"
1,15,26.2801399230957,"Target: 15%"
2,15,72.0467071533203,"Target: 15%"
3,15,23.7950401306152,"Target: 15%"
4,15,8.43234920501709,"Target: 15%"
5,15,0.190086856484413,"Target: 15%"
6,15,8.43189430236816,"Target: 15%"
1,20,27.0591831207275,"Target: 20%"
2,20,70.6421279907227,"Target: 20%"
3,20,26.0368118286133,"Target: 20%"
4,20,3.44058060646057,"Target: 20%"
5,20,0.0388964079320431,"Target: 20%"
6,20,3.44744992256165,"Target: 20%"
1,25,25.6887760162354,"Target: 25%"
2,25,68.9390487670898,"Target: 25%"
3,25,25.6472816467285,"Target: 25%"
4,25,0.898053407669067,"Target: 25%"
5,25,0.0439467802643776,"Target: 25%"
6,25,0.932410061359406,"Target: 25%"
1,30,25.6517963409424,"Target: 30%"
2,30,69.4418029785156,"Target: 30%"
3,30,25.6447563171387,"Target: 30%"
4,30,0.0396889261901379,"Target: 30%"
5,30,0.0401966981589794,"Target: 30%"
6,30,0.0101136397570372,"Target: 30%"
1,35,24.9414501190186,"Target: 35%"
2,35,63.4193840026855,"Target: 35%"
3,35,24.9440402984619,"Target: 35%"
4,35,0.0395370498299599,"Target: 35%"
5,35,0.035529088228941,"Target: 35%"
6,35,0.0114172445610166,"Target: 35%"
1,40,22.7970314025879,"Target: 40%"
2,40,57.2901000976562,"Target: 40%"
3,40,22.7961750030518,"Target: 40%"
4,40,0.0257066376507282,"Target: 40%"
5,40,0.0260420683771372,"Target: 40%"
6,40,-0.000234878054470755,"Target: 40%"
1,45,19.8495559692383,"Target: 45%"
2,45,52.6611785888672,"Target: 45%"
3,45,19.8487491607666,"Target: 45%"
4,45,0.0282431915402412,"Target: 45%"
5,45,0.0281825754791498,"Target: 45%"
6,45,0.00723100127652287,"Target: 45%"
1,50,15.4868640899658,"Target: 50%"
2,50,48.2104835510254,"Target: 50%"
3,50,15.4779052734375,"Target: 50%"
4,50,0.0158037655055523,"Target: 50%"
5,50,0.0157538279891014,"Target: 50%"
6,50,0.00137920363340527,"Target: 50%"
1,55,12.6255474090576,"Target: 55%"
2,55,44.701343536377,"Target: 55%"
3,55,12.6174011230469,"Target: 55%"
4,55,0.0155136780813336,"Target: 55%"
5,55,0.0155419623479247,"Target: 55%"
6,55,0,"Target: 55%"
1,60,10.2793607711792,"Target: 60%"
2,60,41.6872138977051,"Target: 60%"
3,60,10.290979385376,"Target: 60%"
4,60,0.327804625034332,"Target: 60%"
5,60,0.00398668739944696,"Target: 60%"
6,60,0.327804625034332,"Target: 60%"
1,65,8.93735313415527,"Target: 65%"
2,65,39.6408843994141,"Target: 65%"
3,65,8.93538475036621,"Target: 65%"
4,65,0.799521446228027,"Target: 65%"
5,65,0.00688824569806457,"Target: 65%"
6,65,0.845425665378571,"Target: 65%"
1,70,8.50700664520264,"Target: 70%"
2,70,37.9453315734863,"Target: 70%"
3,70,8.40253829956055,"Target: 70%"
4,70,1.49949026107788,"Target: 70%"
5,70,0.00648877117782831,"Target: 70%"
6,70,1.54760074615479,"Target: 70%"
1,75,8.41384983062744,"Target: 75%"
2,75,37.5356826782227,"Target: 75%"
3,75,8.39651870727539,"Target: 75%"
4,75,1.84227979183197,"Target: 75%"
5,75,0.00399576919153333,"Target: 75%"
6,75,1.82563591003418,"Target: 75%"
